place_i,place_j,shared_users,place_i_users,place_j_users,pci,dir_pci
SLB,MLT,1,74,3352,2.008,0.298
MMR,BRN,27,4807,1425,10.316,18.947
SSD,TZA,62,1682,25444,9.477,2.437
KOR,PSE,69,111488,3954,3.286,17.451
CYM,GRC,53,1631,61903,5.275,0.856
MOZ,KWT,14,2682,110415,0.814,0.127
BEN,CRI,6,1200,27611,1.042,0.217
GRC,LSO,10,61903,753,1.465,13.280
CZE,TWN,420,43191,61165,8.171,6.867
CUB,ROU,70,6315,18903,6.407,3.703
JPN,MSR,4,1087206,77,0.437,51.948
ISL,BIH,51,5949,2960,12.154,17.230
MKD,TUV,2,1634,11,14.918,181.818
VIR,MAC,3,4378,4155,0.703,0.722
HKG,MMR,308,42552,4807,21.535,64.073
GHA,STP,10,56052,69,5.085,144.928
BEL,DOM,411,96930,46940,6.093,8.756
CHE,IND,2505,76384,869366,9.721,2.881
NGA,MKD,33,218728,1634,1.746,20.196
DJI,SAU,5,151,517797,0.565,0.010
VEN,BWA,6,71139,2692,0.434,2.229
JAM,LKA,43,8567,7471,5.375,5.756
LKA,MNG,25,7471,2244,6.106,11.141
BHR,GBR,964,9721,1172344,9.030,0.822
WSM,GUM,3,228,3958,3.158,0.758
SWZ,CYM,1,788,1631,0.882,0.613
GMB,SSD,4,542,1682,4.189,2.378
NPL,SAU,94,8375,517797,1.427,0.182
TJK,FJI,1,257,1393,1.671,0.718
XKO,FRA,128,1164,487938,5.371,0.262
BTN,BEN,3,727,1200,3.212,2.500
SWZ,JPN,10,788,1087206,0.342,0.009
KOR,DZA,79,111488,21587,1.610,3.660
MDG,GHA,22,754,56052,3.384,0.392
GUM,LIE,1,3958,748,0.581,1.337
JOR,UZB,22,27790,1596,3.303,13.784
ZAF,SRB,152,180112,17319,2.722,8.776
TCA,CYP,8,1467,4285,3.191,1.867
MUS,SOM,5,1957,1345,3.082,3.717
PRY,LBN,17,39492,6368,1.072,2.670
PSE,BES,2,3954,414,1.563,4.831
BRB,ESP,267,2089,612306,7.465,0.436
PAN,FIN,45,12245,32500,2.256,1.385
GHA,MYT,3,56052,123,1.143,24.390
HUN,GUF,4,30689,303,1.312,13.201
YEM,SVK,6,1355,3599,2.717,1.667
LVA,COM,2,9833,104,1.978,19.231
BLR,JEY,2,4614,2019,0.655,0.991
NCL,ESP,30,346,612306,2.061,0.049
ATG,MKD,5,1084,1634,3.757,3.060
ESH,AND,1,555,4256,0.651,0.235
SYC,SLV,4,534,19968,1.225,0.200
HND,RUS,46,5203,136230,1.728,0.338
DNK,NCL,9,38106,346,2.479,26.012
CAN,KEN,1083,384644,62817,6.967,17.241
MWI,ARM,2,1396,1505,1.380,1.329
